NE_Amp,ACh_Amp,NE_Lag,ACh_Lag
0.0409910350493238,0.046192191470762,-0.2,1.5
0.0354238616566459,0.0484820305176028,1.9,2.1
0.0128615094916188,0.00849320594265672,2.1,-0.1
0.086453352661083,0.0434379185854485,-0.1,2.7
0.0639076016661782,0.0635620725039601,-0.2,1.5
0.0168441369628131,0.0194630460411469,-0.1,1.9
0.136813744301998,0.0790517425117771,-0.1,2.3
0.138417123057148,0.0522445333008018,0,2.6
0.100381594825734,0.0715246535455507,0,2.5
0.135363957120438,0.0550382487293036,-0.1,0.1
0.166135342586168,0.0941431126122067,-0.1,0
0.0677928673997505,0.0242072803879589,0,2.9
0.100910749448489,0.0510833465768819,0,1.9
0.129974954302825,0.0904715725088272,0,2.6
0.0872575672111974,0.1542582334721,-0.3,1.5
0.0262382655614558,0.0319313486708831,1.8,2.4
0.0333330347870144,0.0575496760771934,-0.1,1.7
0.0277958296911141,0.0784024027988546,-0.1,0
0.0270952862559113,0.0549867329843491,0,0.2
