D1,D2,D3,D4
0.125902992776058,0.538303693570451,0.400980392156862,0.454334365325078
0,0.175339366515837,0.35395537525355,0.48323254535459
0,0.670814479638009,0.494435612082671,0.156277436347673
0.30672268907563,0.564990512333967,0.777598710717163,0.900093370681604
0.160054719562244,0.707390648567118,1.20849673202614,1.12319644839068
0.0203921568627451,0.343500363108207,0.746286393345217,0.700980392156863
0.0655737704918033,0.618855761482675,1.07529411764706,0.684348739495799
0.0569053708439898,0.574754901960784,1.3406496927129,0.91208791208791
0.0417457305502846,0.589896975739448,0.49402199904352,0.910216718266253
0,0.411209766925638,1.28952205882353,1.21686746987952
0,1.06878557874763,1.24934152765584,2.7929717341482
0,0.254067584480601,1.37440381558029,1.92530345471522
0,0.597774244833068,1.49745824255628,1.24847870182556
