chance,experimental
34.2102703719572,58.3525176744037
32.059565911237,59.2030061892131
31.6406938950381,49.0571226581812
29.812957512994,55.4775969169259
37.9396517905835,64.2280897117264
35.9229335511239,52.0587179244839
30.1496933048193,50.8197836013128
33.360097961879,43.1686535561221
41.5718061702096,49.1402964564313
34.0284045141599,51.5382305514803
29.3600492005234,77.2129739847325
27.8064143844423,67.186396780585
28.563964921633,44.1787819289052
30.7463715255334,46.7731675482805
31.1013577306208,65.8160919081584
30.4767178894311,39.8060090057703
39.1599063867971,47.8937174718125
35.2040829035258,60.7202599314678
31.9549470471129,67.1369454777495
29.3081174777603,65.9414347898883
23.0031684306438,76.3458350854727
33.0252518630874,67.6633729198333
24.5741904683802,76.2650268992124
27.1182916747936,64.9769884753472
38.0583234858049,47.4046434359738
32.4824463770588,46.5945674757819
28.8223243211259,57.8306423351195
27.5947545179955,48.2691389895106
24.618619803687,25.9258341847419
22.1557168668304,85.8379127910229
