ACh_FAIL,ACh_SUCC,NE_FAIL,NE_SUCC
-0.220194896804645,-0.288478796150371,-0.0844017639575948,-0.0634642706869769
-0.634234560067,-0.376743584583672,-0.0639459409109496,-0.0393130379426309
-0.0891413662551006,-0.0646946411949743,-0.0820070148965656,-0.0866286954891582
-0.407658730262629,-0.417195945873022,-0.230352011030791,-0.162371201505288
-0.203442304839844,-0.208667205829076,-0.0518505055666706,-0.0455185407041224
-0.2149380121729,-0.301569960801907,-0.0359459752796928,-0.0352066438649297
-0.211327473861465,-0.254353652829678,0.0138713141763562,-0.0651583241011965
-0.570807734837993,-0.414980306665002,-0.12398757971566,-0.219555000683613
-0.248614180764044,-0.173963225324723,0.0485502692940386,-0.0216465663559846
-0.485533825768707,-0.423902846537857,-0.0373020066497338,-0.155513238792902
-0.393118863352927,-0.310417748467301,-0.166912517792966,-0.101797326807887
-0.264007952665955,-0.220290884552717,-0.150160271276284,-0.0873714742775476
-0.126556069017692,-0.203342362001822,-0.16694140353616,-0.140456324563531
-0.43487057894998,-0.321204203022967,-0.0988627346316335,-0.0829710894199623
-0.41872387095535,-0.211479691536579,-0.217508206901895,-0.0998664625925614
-0.178148732079894,0.0020521989812943,-0.0912691254562893,-0.0201011433411974
-0.219722387370846,-0.0551610359506949,-0.168862215285933,-0.0446595661560711
-0.263365781246357,-0.0470269116280156,-0.0894407230104884,0.00334465127575547
-0.254983258397997,-0.0887478906026421,-0.0614101613636898,0.00337179583003223
