SuccessRate,MeanDiffSync
34.0659340659341,0.0928375224108091
42.0168067226891,0.0641784734024299
49.1935483870968,0.0087476357586026
56.5217391304348,0.0428934916776468
26.530612244898,-0.022397590555328
31.25,0.0127138245238512
25.2747252747253,-0.0629662410621787
50,-0.0118936468580766
60.9756097560976,-0.0138083051909857
21.259842519685,0.0794482098614867
45.1612903225806,-0.0282463422697078
35.7142857142857,0.0454936905726843
49.1803278688525,0.0160662053351587
55.1724137931034,0.0415918778805635
40.2061855670103,-0.012543290253477
38.7755102040816,0.0265904586647195
37.3737373737374,-0.0502339078799992
37.5,0.0228075483395388
41.5929203539823,0.0144266455947315
12.5984251968504,0.0634708798863355
2.72727272727273,-0.00916082971424781
24.390243902439,0.0544940781244629
15.2,0.0212279427983578
33.9805825242718,-0.0500571759263408
21.6494845360825,0.0415893057905975
33.6633663366337,0.0237358321769489
33.3333333333333,0.0330262537339892
40,0.102650309954532
26.0416666666667,0.0618687427069831
44.578313253012,0.0784398075197643
41.5841584158416,0.0339261485683841
27.9279279279279,0.091337143186492
42.2680412371134,0.0242253649445661
36.734693877551,0.0824655827416535
40.8163265306122,0.0210766207148572
29.2929292929293,0.0898344020639511
48.5294117647059,0.0122614883894846
59.4339622641509,0.060329352544091
47.2222222222222,-0.0186814647215567
50,0.0144770715055168
46.218487394958,0.101894648620514
42.5,0.0201369005112629
