SuccessRate_Sal,Dist_Sal,SuccessRate_DCZ,Dist_DCZ
71.875,1.84109318923311,48.1481481481481,1.79263725102556
64.0776699029126,1.87287516530284,29.5454545454545,1.51378110390881
61.8556701030928,1.77792397446332,35.042735042735,1.61106529564388
41.1764705882353,1.43112189593498,31.25,0.895985530438267
52.7777777777778,1.69152817425659,42.3913043478261,1.71413949527548
49.5867768595041,1.78259708308262,10.7142857142857,1.56386342717859
38.5321100917431,1.78225642256032,29,1.62230148401251
48.9795918367347,1.78391436129915,37.984496124031,1.81588924949991
55.5555555555556,1.82287801281359,33.6206896551724,1.82916212761956
52.6315789473684,1.72997814777956,28.5714285714286,1.43292425073271
57.7586206896552,1.89044607096787,22.1052631578947,1.8535271962981
58,1.76654006234566,38.9473684210526,1.70043956783329
60.2564102564103,1.84064060570013,23.8095238095238,1.09837882537493
58.9473684210526,1.75322826607704,27.9569892473118,1.58421625205576
61.0526315789474,1.78293194410709,39.5604395604396,1.78365858353591
