Sal,DCZ
1.84109318923311,1.79263725102556
1.87287516530284,1.51378110390881
1.77792397446332,1.61106529564388
1.43112189593498,0.895985530438267
1.69152817425659,1.71413949527548
1.78259708308262,1.56386342717859
1.78225642256032,1.62230148401251
1.78391436129915,1.81588924949991
1.82287801281359,1.82916212761956
1.72997814777956,1.43292425073271
1.89044607096787,1.8535271962981
1.76654006234566,1.70043956783329
1.84064060570013,1.09837882537493
1.75322826607704,1.58421625205576
1.78293194410709,1.78365858353591
